CodigoTasacion,Codigo,Viñeta,Fecha,Ubication,Article,SubGroup,Detalle,Descripcion,Vre,Vr,Ant,Vexp,EstadoDelArticulo,K2,ValorDeReposicion,K1a,Va,Fotografia,FotografiaII,Created,Updated
TAC149,AC231,6699,28/11/2023 13:51,DEPÓSITO ACCESORIOS DE VUELO,MUEBLES,"ESTANTES, ARCHIVERO Y VITRINAS",Estante de madera ,"Estante de madera con 3 divisiónes y 4 niveles color café,algunos niveles rotos presentan desgaste de madera",,,,,Malo 4.0; K2 = 0.2,0.2,,,,"{'url':'69773a5ff7a423274ee3971427eadfe2850064933a63ed265b7d01840fb75f67.jpg','size':96013,'width':1280,'height':590,'filename':'IMG_20231128_135307_131.jpg'}","{'url':'2b04fd774036474bbcdd6e5e6ab976c855c129c0226748a44285413bfcded616.jpg','size':101502,'width':1280,'height':590,'filename':'IMG_20231128_135307_199.jpg'}",28/11/2023 13:53,28/11/2023 13:53
TN170,N116,6603,28/11/2023 13:49,DIVISIÓN PASAJES,MUEBLES,SILLAS Y SILLONES,Silla ,Silla de madera de color café ,,,,,Regular 3.0; K2 = 0.4,0.4,,,,"{'url':'595248f4af91e4b96a0df586196ebf4e4d8f711124890815018547cfd68ccf71.jpg','size':145510,'width':811,'height':1280,'filename':'IMG_20231128_134903_999.jpg'}","{'url':'e7629fd298300386476873b3c24135fc87f00a5d13c8485cb8964db954df12d8.jpg','size':168418,'width':947,'height':1280,'filename':'IMG_20231128_134904_103.jpg'}",28/11/2023 13:52,28/11/2023 13:52
TAC167,AC214,7786,28/11/2023 12:06,DEPÓSITO ACCESORIOS DE VUELO,MUEBLES,"ESTANTES, ARCHIVERO Y VITRINAS",Estante metálico.,Estante metálico de color plomo y de 5 niveles.,,,,,Regular 3.0; K2 = 0.4,0.4,,,,"{'url':'25b14255ae6ee7dc1a5a2ecae3c990cf79088689e18975317dc3879a7335fa80.jpg','size':5759358,'width':4160,'height':3120,'filename':'17011876350583170674233717847864.jpg'}","{'url':'789870f7737f5519c8db4cbe326636d02cf3a9e1843ac0fa92e09248433bdecd.jpg','size':5847348,'width':4160,'height':3120,'filename':'17011876681206587129402696646080.jpg'}",28/11/2023 12:13,28/11/2023 12:13
TAC186,AC343,6785,28/11/2023 11:49,DEPÓSITO ACCESORIOS DE VUELO,MUEBLES,"ESTANTES, ARCHIVERO Y VITRINAS",Estante de madera,Estante de madera con 3 divisiones y 4 niveles,,,,,Regular 3.0; K2 = 0.4,0.4,,,,"{'url':'5d34b4c591de49b58c67e9f4829b46a0d59c25300b6f575632146341a300c99d.jpg','size':2450305,'width':4160,'height':1968,'filename':'17011868458255369578149485907700.jpg'}","{'url':'86095fc963423a0fb3d62a8b664d3081465976de39ae8f6b0bda4ebc9036f86a.jpg','size':2964759,'width':4160,'height':1968,'filename':'17011868785922194780392024949739.jpg'}",28/11/2023 11:55,28/11/2023 11:55
TAC23 ,AC412,7788,28/11/2023 11:48,DEPÓSITO ACCESORIOS DE VUELO,MUEBLES,"ESTANTES, ARCHIVERO Y VITRINAS",Estante metálico ,"Estante metálico color plomo, con 6 niveles y 7 cuerpos, cuenta con dos caras ",,,,,Regular 3.0; K2 = 0.4,0.4,,,,"{'url':'97d0541343c538c6938fb53cacd1d28461690c3208302bd6e30f0aa4d08d9991.jpg','size':1409242,'width':3264,'height':2448,'filename':'17011869589854192963895807853792.jpg'}","{'url':'3073f2f48e81240c8ad3207182b91a59c343e1feb4d00361f32562ed8b89b003.jpg','size':1468573,'width':3264,'height':2448,'filename':'17011869972755054951754867243989.jpg'}",28/11/2023 11:54,28/11/2023 11:57
TB1-109,B1-0012,217744,1/12/2023 09:19,TALLER TB1,EQUIPO DE COMPUTACIÓN,MONITOR,Monitor,"Monitor marca Sabre, modelo 550S, codigo DP15L87L, color beige",,,,,Regular 3.0; K2 = 0.4,,,,,"{'url':'14760aaeae9806b1f33cd898500fcae21d1c957154504e76d1608e3f21249bf7.jpg','size':1660829,'width':4160,'height':1968,'filename':'17014369568701869739018867646464.jpg'}","{'url':'cb3ee5f0dd5801024b3a8fe3e9f76feaec71da4847e8555ae791701cba2bfca6.jpg','size':1601919,'width':4160,'height':1968,'filename':'17014369823351754481933432608483.jpg'}",1/12/2023 09:23,1/12/2023 09:23
TB1-95,B1-25,18015,1/12/2023 09:17,TALLER TB1,EQUIPO DE COMPUTACIÓN,CPU,CPU,"CPU, de color crema, maraca DELL, serial 8G2FY.",,,,,Regular 3.0; K2 = 0.4,,,,,"{'url':'32944e1d78d7d06ef38ea47c227920fc6806a83db5150bf386e2361dd8912212.jpg','size':5593477,'width':4160,'height':3120,'filename':'17014366744021552912931927560172.jpg'}","{'url':'619d1a4881ce0b2b9246ca430c8ee902fd1932dd21ded63aadc40acb8bce91d4.jpg','size':5470740,'width':4160,'height':3120,'filename':'17014367252469022870754301950025.jpg'}",1/12/2023 09:21,1/12/2023 09:21
TB1-108,B1-0009,21742,1/12/2023 09:12,TALLER TB1,EQUIPO DE COMPUTACIÓN,MONITOR,Monitor,"Monitor marca Sabre, modelo 550S, codigo DP15L87L, color beige",,,,,Regular 3.0; K2 = 0.4,,,,,"{'url':'a386fbe549d5e229e05fafdc06359fcc034db8440d3283e1d63fe9603667ed0a.jpg','size':1810838,'width':4160,'height':1968,'filename':'17014366253352311574963524962326.jpg'}","{'url':'ffbee92c5fede78e9daf5456f9e097ec6a08f5fda9b07b7cba5fad4d15b96305.jpg','size':1646113,'width':4160,'height':1968,'filename':'17014366994522299677933429585559.jpg'}",1/12/2023 09:19,1/12/2023 09:19
TB1-94,B1-23,17992,1/12/2023 09:13,TALLER TB1,EQUIPO DE COMPUTACIÓN,CPU,CPU,"CPU, de color crema, maraca DELL, serial 8G22S.",,,,,Regular 3.0; K2 = 0.4,,,,,"{'url':'a3e3be86405d2b4b0c5a15b4d1bf4da809f282fa0235daf6a8d75197f47fdfb0.jpg','size':5849511,'width':4160,'height':3120,'filename':'17014364130193673596813322582860.jpg'}","{'url':'d0a99093aa81e9a4401842e4c28293643206bf9e5f5734ba8f5f348f70c9ed87.jpg','size':5553611,'width':4160,'height':3120,'filename':'17014364658855901785439768411520.jpg'}",1/12/2023 09:17,1/12/2023 09:17
TB1-135,B1-82,20423,1/12/2023 09:10,TALLER TB1,EQUIPO DE COMPUTACIÓN,MONITOR,Monitor ,"Monitor Crt, color blanco marca Sabre, model DP15L87L/UST, 14 pulg",,,,,Regular 3.0; K2 = 0.4,,,,,"{'url':'adc2341072b2b4b5cea5170de4da16762f0965446feb07d26985a8c8de332c4f.jpg','size':3002499,'width':4000,'height':3000,'filename':'17014362647345369952966035776194.jpg'}","{'url':'4d6e01091fcc5d099b0eeaf4d93de364dfbc2fa13c4d94737bb5bee4873167f0.jpg','size':3031201,'width':4000,'height':3000,'filename':'17014362845545841831593454518300.jpg'}",1/12/2023 09:16,1/12/2023 09:16
